Date,Avg. Temperature(°F),Avg. Humidity(%),Avg. Dewpoint(°F),Avg. Barometer(in),Avg. Windspeed(mph),Avg. Gust speed(mph),Avg. Direction(°deg),Rainfall for month(in),Rainfall for year(in),Max. rain per minute,Max. Temperature(°F),Min. Temperature(°F),Max. Humidity(%),Min. Humidity(%),Max. Pressure,Min. Pressure,Max. Windspeed(mph),Max. Gust speed(mph),Max. Heat Index(°F)
2022-12-14 00:00:00,21.2,48,4.4,29.8,12.8,18.7,254,0.18,9.21,0,26.1,18.4,58,40,29.894,29.665,26.5,39.1,26.1
2022-12-15 00:00:00,16,45,2,30,9.8,14.9,269,0.18,9.21,0,22.8,9.7,52,36,30.073,29.82,21.9,33.4,22.8
2022-12-16 00:00:00,14.3,36,8,30.1,12.8,19,259,0.18,9.21,0,20.7,8.5,47,26,30.232,29.992,28.8,40.3,20.7
2022-12-17 00:00:00,22.8,36,0.5,30,13.1,18.6,249,0.18,9.21,0,28.9,14.3,44,30,30.109,29.942,25.3,34.5,28.9
2022-12-18 00:00:00,30,25,2.4,29.8,7.4,11.1,255,0.18,9.21,0,39,22.5,36,16,29.942,29.776,18.4,26.5,39
2022-12-19 00:00:00,25.7,32,0.7,30,8.1,12.2,254,0.18,9.21,0,31.3,14,47,24,30.237,29.779,20.7,29.9,31.3
2022-12-20 00:00:00,29.7,39,7.5,30.1,8.8,13.6,258,0.18,9.21,0,38,24.6,56,30,30.268,29.897,23,34.5,38
2022-12-21 00:00:00,21.2,58,8.1,29.7,10.4,15.6,236,0.18,9.21,0,31.9,6.1,81,42,29.921,29.558,24.2,36.8,31.9
2022-12-22 00:00:00,10.2,74,16.3,30.3,9.2,12.9,42,0.18,9.21,0,2.4,21,80,56,30.703,29.876,21.9,27.6,2.4
2022-12-23 00:00:00,13.3,58,1.2,30.6,8.6,13.3,359,0.23,9.26,0.01,33.3,8.6,73,46,30.771,30.325,24.2,33.4,33.3
2022-12-24 00:00:00,33.5,53,18.2,30.2,9.6,14.5,263,0.25,9.28,0.01,42.2,28.8,65,42,30.332,30.105,25.3,40.3,42.2
2022-12-25 00:00:00,37,51,20.5,30,12.4,19.4,250,0.25,9.28,0,43.2,33.4,58,39,30.125,29.845,28.8,44.9,43.2
2022-12-26 00:00:00,38.3,52,21.5,30,7.6,11.9,269,0.25,9.28,0,47.4,25.6,75,31,30.108,29.796,24.2,38,47.4
2022-12-27 00:00:00,44.2,43,22.7,29.4,20.1,27.8,249,0.25,9.28,0,48.1,40.1,58,31,29.815,29.161,35.7,49.5,48.1
2022-12-28 00:00:00,35.7,64,23.8,29.2,9.2,13.2,253,0.25,9.28,0,42.8,22.8,92,43,29.417,29.147,26.5,38,42.8
2022-12-29 00:00:00,22.7,50,6.8,29.7,8.5,13.1,272,0.31,9.34,0.01,27.1,19.1,82,38,29.959,29.41,19.6,34.5,27.1
2022-12-30 00:00:00,26.4,51,10.7,29.8,8.4,12.7,265,0.31,9.34,0,32.8,14.6,57,44,29.957,29.618,23,38,32.8
2022-12-31 00:00:00,34.2,74,26.6,29.6,6.8,9.9,247,0.32,9.35,0.01,38.9,30.7,88,53,29.649,29.521,20.7,29.9,38.9
2023-02-01 00:00:00,25.7,48,8.8,30.2,12.2,17.3,254,0,0.41,0,33.1,19.5,55,40,30.217,30.093,24.2,33.4,33.1
2023-02-02 00:00:00,31.6,39,8.5,30.3,9.7,13.9,260,0,0.41,0,40.5,24.1,54,24,30.33,30.151,18.4,28.8,40.5
2023-02-03 00:00:00,37.2,22,1.8,30.2,11.3,16.3,263,0,0.41,0,45.8,29.8,30,16,30.313,29.968,21.9,32.2,45.8
2023-02-04 00:00:00,36.1,30,7.3,29.9,13.9,21.4,270,0,0.41,0,40.6,31.8,40,18,29.973,29.846,29.9,44.9,40.6
2023-02-05 00:00:00,40.1,30,9.8,29.8,10.5,15.5,200,0,0.41,0,48.6,29.8,76,21,29.959,29.537,23,34.5,48.6
2023-02-06 00:00:00,26.8,49,9.7,29.7,8.5,12.9,243,0,0.41,0,31.6,14.5,72,36,30.127,29.496,25.3,41.4,31.6
2023-02-07 00:00:00,24.1,50,6.6,30.2,1.7,3,1,0,0.41,0,44,10.7,77,17,30.286,30.129,9.2,12.7,44
2023-02-08 00:00:00,25.1,54,10.2,30.1,8.7,13.1,258,0,0.41,0,34.5,9.6,83,34,30.208,29.963,21.9,33.4,34.5
2023-02-09 00:00:00,18.5,46,0.3,30.3,4.5,7.4,300,0,0.41,0,29.8,2.8,70,28,30.526,30.095,16.1,25.3,29.8
2023-02-10 00:00:00,24.7,48,3.9,30.4,3.9,6.1,271,0,0.41,0,50.7,4.5,86,18,30.579,30.247,15,23,50.7
2023-02-11 00:00:00,37,33,6.8,30,3.8,5.7,243,0,0.41,0,55.1,23.4,57,8,30.244,29.794,15,19.6,55.1
2023-02-12 00:00:00,37.6,33,10.3,29.8,7.8,11.6,223,0,0.41,0,48.2,25.1,58,19,29.895,29.788,18.4,28.8,48.2
2023-02-13 00:00:00,37,38,12.2,29.6,7.6,11,198,0,0.41,0,48.1,24.5,68,18,29.884,29.172,24.2,32.2,48.1
